user_id,embedding,severity,tag
11,"[0.         0.         0.5636728  2.5027382  0.         0.
 0.         1.367707   0.         0.         1.1492279  0.
 0.         0.         0.4607373  0.         0.         0.
 0.20287457 0.         0.         0.         0.83770424 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         1.22152    0.
 0.8615328  0.6329685  0.         0.16946247 0.         0.
 0.54463977 0.         1.0733666  0.         0.         0.
 0.5138391  0.         0.         0.83837146 1.9533452  0.
 0.         1.5268357  0.         0.5745533  0.         0.
 0.         0.         0.22643971 0.         0.         0.
 0.7617183  0.         0.         0.         1.9983851  0.28416514
 0.         0.         0.         0.         0.         0.
 0.78070754 0.         0.         0.0761438  0.         4.7293634
 0.         1.116721   0.         2.1451104  0.         0.
 0.22367156 0.         0.         0.         0.16066712 0.
 0.         0.         0.         2.5457304  0.         0.8613908
 1.3252113  0.         0.         1.5257653  0.         0.5590844
 0.         0.         0.         0.         0.37587094 0.
 0.         0.         5.0724487  1.203906   0.         0.
 0.6734966  0.         0.         0.         0.3808682  0.585914
 0.         0.        ]",2,重度追讨
12,"[0.         1.3032708  0.38729945 2.042255   0.         0.
 0.0156531  0.6020585  0.         0.         0.8642533  0.59338236
 0.         0.         0.         0.         0.47817245 0.79883903
 0.27843753 0.17681733 0.         0.         0.         0.
 0.         0.8514708  0.8674278  0.35396147 0.88141334 0.
 0.6141832  1.2233975  0.5231378  0.         1.5008663  0.13045773
 0.05304855 1.3461711  1.1423945  0.         0.         0.15105423
 0.15524587 0.         0.         1.4888232  0.         0.33327308
 0.6540723  0.         0.14226797 0.7058776  0.09704502 0.5881249
 1.05518    0.8216905  0.46344563 0.         0.         0.
 0.         0.         0.71015424 0.14645736 0.         0.79722047
 1.5277767  0.5359634  1.1252836  1.259841   0.         0.
 0.04694978 0.         0.         0.         0.16983971 0.
 0.6970463  0.         0.         0.         0.         0.11578909
 0.         1.7369255  0.         0.3781418  0.         0.
 0.         0.         0.         0.         0.44457382 1.2716932
 0.         0.         0.         0.         0.         0.86225367
 0.         0.12209296 0.36057448 1.7930087  0.         0.3895867
 0.         0.41957515 0.58843726 0.         1.038855   0.
 0.915047   0.         0.         1.0714812  0.         0.
 0.49974984 0.         0.         0.         0.27677956 0.
 0.16809165 0.        ]",2,重度追讨
13,"[0.         0.         0.         2.0799046  0.         0.
 0.         0.29194793 0.         0.         0.25181967 0.
 0.         0.         4.4904184  0.32788193 0.         0.
 0.         0.05005256 0.         0.         2.649441   0.
 0.         2.6731396  0.         0.         0.         0.
 0.         1.3843181  0.         0.         2.3649864  1.7335981
 0.6172783  0.         0.         0.36558938 0.         0.
 0.34535986 0.         1.8099132  0.         0.         0.
 0.34734774 0.         0.         0.88954085 0.         0.
 0.         0.         0.         2.3185523  0.         1.4660307
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.6930668
 0.         0.         0.         0.         0.         0.
 0.8976304  0.         0.88071084 0.15436068 0.         3.7026072
 0.         0.         0.         1.186265   0.         0.
 0.13875407 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.8646532
 0.20941293 0.         0.         1.9431978  0.         0.09138855
 0.         0.01518565 0.         0.         0.43897542 0.
 0.         0.         0.7195697  1.2441204  0.         0.
 0.8001487  1.3628154  0.         0.         0.09004274 0.
 0.         0.        ]",2,重度追讨
14,"[0.00000000e+00 0.00000000e+00 7.20815241e-01 1.33377481e+00
 0.00000000e+00 9.74272370e-01 9.98551846e-01 0.00000000e+00
 8.24096426e-02 0.00000000e+00 6.83874249e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 3.42059523e-01 3.29940766e-03 0.00000000e+00
 8.30683053e-01 0.00000000e+00 0.00000000e+00 6.50164127e+00
 0.00000000e+00 5.92652440e-01 1.01362154e-01 1.64759383e-01
 7.38348484e-01 1.36043751e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.28498483e+00 0.00000000e+00
 1.19846083e-01 2.02784061e-01 1.44431305e+00 8.87067169e-02
 0.00000000e+00 7.53317714e-01 2.03779161e-01 6.01193011e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.49458539e-01
 7.13265121e-01 1.20049715e+00 0.00000000e+00 7.73556888e-01
 1.03210306e+00 0.00000000e+00 1.67642641e+00 7.60400236e-01
 1.16694248e+00 0.00000000e+00 0.00000000e+00 9.86519098e-01
 6.69304073e-01 3.08520734e-01 4.88071382e-01 4.34215724e-01
 0.00000000e+00 5.30065417e-01 1.26463938e+00 0.00000000e+00
 0.00000000e+00 5.29494405e-01 0.00000000e+00 0.00000000e+00
 3.13333273e-01 0.00000000e+00 1.01666391e-01 2.04546630e-01
 1.63669920e+00 0.00000000e+00 6.74045324e-01 0.00000000e+00
 2.24792153e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.06628060e+00 9.04021859e-01 0.00000000e+00
 0.00000000e+00 5.57441711e-01 0.00000000e+00 1.56798434e+00
 9.28098023e-01 0.00000000e+00 2.80157626e-01 0.00000000e+00
 0.00000000e+00 1.15320861e-01 0.00000000e+00 0.00000000e+00
 1.04898190e+00 8.66659105e-01 0.00000000e+00 5.38360476e-01
 1.29239142e+00 1.35500526e+00 1.43286014e+00 2.98856586e-01
 0.00000000e+00 0.00000000e+00 8.80274355e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.12698197e+00 0.00000000e+00
 0.00000000e+00 7.45781183e-01 7.99612284e-01 0.00000000e+00
 5.54870784e-01 0.00000000e+00 0.00000000e+00 1.33022740e-01
 0.00000000e+00 0.00000000e+00 4.61793900e-01 0.00000000e+00]",1,中度催缴
15,"[0.         0.         0.         2.4941444  0.         0.
 0.         1.1912582  0.         0.         0.8536338  0.
 0.         0.         2.9908457  0.35199118 0.         0.
 0.36512634 1.1577001  0.         0.         2.2393038  0.
 0.         1.8609729  0.         0.         0.         0.
 0.         1.7755383  0.         0.         2.3751748  2.8306394
 0.         0.44290236 0.         0.01435444 0.         0.
 0.19340965 0.         0.         0.         0.         0.
 0.6140693  0.         0.         0.79459715 0.         0.
 0.         0.9622053  0.         2.109554   0.         0.29839048
 0.         0.5748809  0.55857503 0.         0.         0.
 0.8388237  0.06002015 0.00648241 0.         0.         0.98336536
 0.         0.         0.         0.         0.         0.
 0.81013745 0.         0.6095562  0.         0.         2.8427439
 0.45912942 1.0166838  0.         1.8106663  0.         0.
 0.19942802 0.         0.         0.         0.         0.
 0.         0.         0.         0.29274207 0.         0.8592749
 1.311472   0.         0.         2.2276332  0.         0.4551
 0.         0.673906   0.         0.         1.1270735  0.
 0.         0.         1.3126116  1.6843543  0.         0.
 0.6382496  0.2419253  0.         0.         0.85269547 0.11034858
 0.         0.        ]",2,重度追讨
16,"[0.0000000e+00 0.0000000e+00 8.2035047e-01 1.2739332e+00 0.0000000e+00
 9.8916125e-01 9.4297957e-01 0.0000000e+00 6.3586958e-02 0.0000000e+00
 6.9173205e-01 3.3557326e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 4.2161101e-01 0.0000000e+00 0.0000000e+00
 1.1619270e+00 0.0000000e+00 0.0000000e+00 6.5157790e+00 0.0000000e+00
 4.1842347e-01 9.4873822e-01 8.5204795e-02 6.7246556e-01 1.4857727e+00
 0.0000000e+00 0.0000000e+00 1.0018602e-02 0.0000000e+00 1.1782284e+00
 0.0000000e+00 2.5561899e-01 2.2281632e-01 1.3121623e+00 1.0257204e-01
 0.0000000e+00 7.5229955e-01 2.1590623e-01 3.1001994e-01 0.0000000e+00
 0.0000000e+00 0.0000000e+00 9.3067002e-01 7.0097923e-01 1.3667762e+00
 0.0000000e+00 7.7164280e-01 1.1975626e+00 0.0000000e+00 1.6725634e+00
 7.2376454e-01 1.2419449e+00 0.0000000e+00 0.0000000e+00 8.3962119e-01
 5.8863747e-01 8.3867395e-01 4.3302917e-01 4.5390546e-01 0.0000000e+00
 2.6350206e-01 1.2640326e+00 0.0000000e+00 0.0000000e+00 5.2687079e-01
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.0861111e-03
 1.7506337e-01 2.1281562e+00 0.0000000e+00 6.7387795e-01 0.0000000e+00
 1.9865802e-01 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 1.0127566e+00 1.1214917e+00 0.0000000e+00 0.0000000e+00 1.1101247e+00
 0.0000000e+00 1.7339292e+00 8.4979039e-01 0.0000000e+00 3.5082531e-01
 0.0000000e+00 0.0000000e+00 9.6643806e-02 0.0000000e+00 0.0000000e+00
 1.0322622e+00 8.6712879e-01 0.0000000e+00 6.0775244e-01 1.2802331e+00
 1.2876720e+00 2.2148547e+00 2.9868156e-01 0.0000000e+00 0.0000000e+00
 7.6054895e-01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.0593070e+00
 0.0000000e+00 0.0000000e+00 7.3564005e-01 7.9365039e-01 1.1978346e-01
 5.5159271e-01 0.0000000e+00 0.0000000e+00 4.6587810e-02 0.0000000e+00
 0.0000000e+00 6.5065318e-01 0.0000000e+00]",1,中度催缴
17,"[0.         0.59836906 0.58817184 2.469512   0.         0.
 0.         1.2779647  0.         0.         1.0655082  0.
 0.         0.         0.33047032 0.         0.         0.
 0.54388213 0.28117743 0.         0.         0.44009525 0.
 0.         0.7483889  0.         0.         0.         0.
 0.01866783 0.         0.         0.         1.7844148  1.0156273
 0.17807625 0.9274119  0.         0.         0.         0.
 0.24879259 0.         0.         0.         0.         0.
 0.62712455 0.         0.         0.7580969  0.9394556  0.
 0.         1.3132699  0.         0.5425747  0.         0.
 0.         0.         0.5701804  0.         0.         0.18101518
 1.2356982  0.         0.5327289  0.         0.6310462  0.08018313
 0.         0.         0.         0.         0.         0.
 0.74531794 0.         0.04891461 0.         0.         2.550292
 0.         1.4478849  0.         1.3428332  0.         0.
 0.09479413 0.         0.         0.         0.21896149 0.
 0.         0.         0.         1.0169737  0.         0.8605667
 0.668592   0.         0.         1.9149445  0.         0.49214202
 0.         0.50258523 0.         0.         0.897499   0.
 0.         0.         1.6974804  1.3507788  0.         0.
 0.5834775  0.         0.         0.0491461  0.31745028 0.
 0.         0.        ]",2,重度追讨
18,"[0.         0.         0.6492648  1.540569   0.         0.62258387
 0.6047971  0.         0.         0.         0.74071366 0.37202317
 0.         0.         0.         0.         0.63589954 0.7044396
 0.         0.         1.2010217  0.         0.         1.957005
 0.         0.556313   1.4655228  0.22498609 0.88747215 0.9416088
 0.         0.         0.4551535  0.         1.256477   0.
 0.21950147 0.85669804 1.2920609  0.02425087 0.         0.51388204
 0.19717973 0.24190646 0.         0.         0.         0.7540612
 0.65056545 0.46432066 0.14633892 0.7397253  0.42685297 0.
 1.4238638  0.78413665 1.0885093  0.         0.02620339 0.
 0.20397031 0.88314146 0.5052872  0.5817031  0.         0.34204867
 1.3828986  0.         0.         1.1541898  0.         0.
 0.         0.         0.         0.         1.5328981  0.
 0.6764006  0.         0.06038028 0.         0.         0.
 0.         1.3291957  0.39533734 0.         0.         1.0688794
 0.         1.0194626  0.43736947 0.         0.49212137 0.
 0.         0.         0.         0.         0.3539492  0.86552095
 0.         0.4240914  0.5929432  1.4929656  1.7437706  0.3121277
 0.         0.         0.82625246 0.         0.         0.
 0.9530979  0.         0.         0.8619353  0.3749622  0.5852267
 0.52116835 0.         0.         0.         0.         0.
 0.64660215 0.        ]",1,中度催缴
19,"[0.         0.         0.         2.3022234  0.         0.
 0.         0.         0.         0.         0.65797824 0.
 0.         0.         2.1149182  3.252726   0.         0.
 0.9192866  2.4947908  0.         0.         1.6713626  0.4324823
 0.         0.         0.         0.6899312  0.         0.
 0.         2.3612049  0.         0.         2.6138482  0.
 1.9305391  0.         1.8309045  0.         0.         0.
 0.10715376 1.8054312  0.         0.         0.         0.
 0.5999967  0.         0.         0.85067004 2.7227192  0.
 0.         0.         0.         2.2653968  0.         1.3049623
 0.         0.         0.6999157  0.         0.         0.
 0.68751127 0.         0.         0.         0.         1.0652268
 2.0860317  0.         0.         0.07102919 0.         1.2199551
 0.76981825 0.         0.18847981 0.         0.         0.
 1.2336873  0.9979635  0.         0.         0.65128446 0.
 0.06147236 0.         0.         0.         0.         2.0656984
 0.         0.         0.         0.3225748  0.         0.861037
 3.1432877  0.         0.         2.0518913  0.         0.21945137
 0.         0.         0.6253306  0.         0.         0.
 0.46861506 0.         0.         0.5905481  0.24336943 0.
 0.5731808  0.         0.         0.         1.20217    0.
 0.         0.        ]",0,轻度提醒
20,"[0.         0.         0.6739173  1.5114878  0.         0.6192824
 0.56132317 0.         0.         0.         0.74813616 0.36135954
 0.         0.         0.         0.         0.6916405  0.73799324
 0.         0.         1.3491557  0.         0.         1.9487429
 0.         0.48859558 1.6684188  0.21385224 0.85773945 0.9626522
 0.         0.         0.45266268 0.         1.2376581  0.
 0.27718806 0.8520539  1.2657053  0.02563642 0.         0.46249267
 0.19974373 0.14552987 0.         0.         0.         0.73566157
 0.6468482  0.54544353 0.11200823 0.7405212  0.5362799  0.
 1.4008796  0.7544985  1.0956372  0.         0.04778039 0.
 0.19553262 0.94952816 0.49907923 0.57380056 0.         0.23249835
 1.3762143  0.         0.         1.1506183  0.         0.
 0.         0.         0.         0.         1.6384294  0.
 0.676611   0.         0.0426116  0.         0.         0.
 0.         1.3158587  0.53346443 0.         0.         1.158919
 0.         1.1214647  0.40716368 0.         0.5080737  0.
 0.         0.         0.         0.         0.3539949  0.8655785
 0.         0.4631114  0.62917864 1.4799863  1.8704896  0.31076282
 0.         0.         0.81108236 0.         0.         0.
 0.9464298  0.         0.         0.8583493  0.37236288 0.66275746
 0.52063596 0.         0.         0.         0.         0.
 0.64360696 0.        ]",1,中度催缴
21,"[0.         0.         0.7504565  2.3878553  0.         0.
 0.         1.777778   0.         0.         1.1035013  0.
 0.         0.         2.654547   0.         0.         0.
 0.05556495 0.         0.         0.         2.0838673  0.
 0.         0.5239244  0.         0.         0.         0.
 0.         0.         0.         0.         1.6126286  1.9548682
 0.82629347 0.1840629  0.         0.36834362 0.         0.
 0.6233018  0.         2.2445564  0.         0.         0.
 0.43119535 0.         0.         0.926423   1.5124598  0.
 0.         1.9677126  0.         1.9409485  0.         0.22931
 0.         0.02569947 0.         0.         0.         0.
 0.28130496 0.         0.         0.         2.087738   0.9668569
 0.         0.         0.         0.         0.         0.
 0.8371461  0.         0.         0.3146561  0.         6.634806
 0.         0.5180262  0.05955541 3.1372547  0.         0.
 0.4578327  0.         0.         0.         0.         0.
 0.         0.         0.         3.3930376  0.         0.861315
 2.277957   0.         0.         1.8445084  0.         0.58111703
 0.         0.         0.         0.         0.28803676 0.
 0.         0.         7.4603367  1.601662   0.         0.
 0.76374346 0.         0.         0.11005957 0.6320551  0.82130146
 0.         0.        ]",2,重度追讨
