用户编号,电压等级,年月,电费,滞纳金,欠费金额,电量,合同容量,运行容量,缴费次数,行业分类
3,交流10kV,202002,64.33,0.00,0.00,,40.00,40.00,2,十一、公共服务及管理组织
3,交流10kV,202003,63.42,0.00,0.00,,40.00,40.00,2,十一、公共服务及管理组织
3,交流10kV,202004,63.87,0.00,0.00,,40.00,40.00,2,十一、公共服务及管理组织
3,交流10kV,202005,63.87,0.00,0.00,,40.00,40.00,2,十一、公共服务及管理组织
3,交流10kV,202006,64.78,0.00,0.00,,40.00,40.00,1,十一、公共服务及管理组织
3,交流10kV,202007,66.15,0.00,0.00,,40.00,40.00,1,十一、公共服务及管理组织
3,交流10kV,202008,66.15,0.00,0.00,,40.00,40.00,1,十一、公共服务及管理组织
3,交流10kV,202009,65.24,0.00,0.00,,40.00,40.00,1,十一、公共服务及管理组织
3,交流10kV,202010,63.87,0.00,0.00,,40.00,40.00,1,十一、公共服务及管理组织
3,交流10kV,202011,63.87,0.00,0.00,,40.00,40.00,1,十一、公共服务及管理组织
3,交流10kV,202012,63.87,0.00,0.00,,40.00,40.00,1,十一、公共服务及管理组织
3,交流10kV,202101,63.42,0.00,0.00,,40.00,40.00,1,十一、公共服务及管理组织
3,交流10kV,202102,63.87,0.00,0.00,,40.00,40.00,1,十一、公共服务及管理组织
3,交流10kV,202103,63.42,0.00,0.00,,40.00,40.00,1,十一、公共服务及管理组织
3,交流10kV,202104,63.87,0.00,0.00,,40.00,40.00,1,十一、公共服务及管理组织
3,交流10kV,202105,62.05,0.00,0.00,,40.00,40.00,1,十一、公共服务及管理组织
3,交流10kV,202106,61.14,0.00,0.00,,40.00,40.00,1,十一、公共服务及管理组织
3,交流10kV,202107,60.22,0.00,0.00,,40.00,40.00,1,十一、公共服务及管理组织
3,交流10kV,202108,61.59,0.00,0.00,,40.00,40.00,1,十一、公共服务及管理组织
3,交流10kV,202109,63.87,0.00,0.00,,40.00,40.00,1,十一、公共服务及管理组织
3,交流10kV,202110,62.96,0.00,0.00,,40.00,40.00,2,十一、公共服务及管理组织
3,交流10kV,202111,60.68,0.80,61.48,,40.00,40.00,1,十一、公共服务及管理组织
257,交流10kV,202112,5.15,0.00,5.15,4.80,400.00,0.00,2,一、农、林、牧、渔业
4,交流10kV,202001,13898.56,0.00,0.00,,64.00,64.00,4,二、工业
4,交流10kV,202002,14122.66,0.00,0.00,,64.00,64.00,4,二、工业
4,交流10kV,202003,12035.18,0.00,0.00,,64.00,64.00,4,二、工业
4,交流10kV,202004,12148.53,0.00,0.00,,64.00,64.00,4,二、工业
4,交流10kV,202005,11441.60,0.00,0.00,,64.00,64.00,5,二、工业
4,交流10kV,202006,12371.34,0.00,0.00,,64.00,64.00,2,二、工业
4,交流10kV,202007,11102.41,44.12,11146.53,,64.00,64.00,3,二、工业
4,交流10kV,202008,11470.15,0.00,0.00,,64.00,64.00,1,二、工业
4,交流10kV,202009,12726.10,50.90,12777.01,,64.00,64.00,1,二、工业
4,交流10kV,202010,12381.73,0.00,0.00,,64.00,64.00,1,二、工业
4,交流10kV,202011,12400.76,0.00,0.00,,64.00,64.00,1,二、工业
4,交流10kV,202012,12875.37,0.00,0.00,,64.00,64.00,1,二、工业
4,交流10kV,202101,13848.81,0.00,0.00,,64.00,64.00,1,二、工业
4,交流10kV,202102,14160.30,0.00,0.00,,64.00,64.00,1,二、工业
4,交流10kV,202103,11469.29,0.00,0.00,,64.00,64.00,1,二、工业
4,交流10kV,202104,11805.88,0.00,0.00,,64.00,64.00,1,二、工业
4,交流10kV,202105,11962.06,0.00,0.00,,64.00,64.00,1,二、工业
4,交流10kV,202106,12958.43,0.00,0.00,,64.00,64.00,1,二、工业
4,交流10kV,202107,13056.64,0.00,0.00,,64.00,64.00,1,二、工业
4,交流10kV,202108,14210.06,0.00,0.00,,64.00,64.00,1,二、工业
4,交流10kV,202109,13936.20,0.00,0.00,,64.00,64.00,1,二、工业
4,交流10kV,202110,13350.41,0.00,0.00,,64.00,64.00,1,二、工业
4,交流10kV,202111,13807.70,0.00,0.00,,64.00,64.00,1,二、工业
839,交流10kV,202112,8.34,0.80,9.14,16.00,64.00,0.00,1,一、农、林、牧、渔业
5,交流10kV,202001,26121.91,0.00,0.00,,200.00,200.00,2,二、工业
5,交流10kV,202002,6717.83,0.00,0.00,,200.00,200.00,2,二、工业
5,交流10kV,202003,3145.08,0.00,0.00,,200.00,200.00,2,二、工业
5,交流10kV,202004,14551.03,0.00,0.00,,200.00,200.00,2,二、工业
5,交流10kV,202005,14802.82,0.00,0.00,,200.00,200.00,6,二、工业
5,交流10kV,202006,13780.05,0.00,0.00,,200.00,200.00,1,二、工业
5,交流10kV,202007,12225.43,24.45,12249.88,,200.00,200.00,1,二、工业
5,交流10kV,202008,15034.97,0.00,0.00,,200.00,200.00,2,二、工业
5,交流10kV,202009,17046.70,0.00,0.00,,200.00,200.00,1,二、工业
5,交流10kV,202010,19310.03,0.00,0.00,,200.00,200.00,1,二、工业
5,交流10kV,202011,22449.98,0.00,0.00,,200.00,200.00,1,二、工业
5,交流10kV,202012,23721.18,0.00,0.00,,200.00,200.00,1,二、工业
5,交流10kV,202101,21476.01,0.00,0.00,,200.00,200.00,2,二、工业
5,交流10kV,202102,9799.07,0.00,0.00,,200.00,200.00,1,二、工业
5,交流10kV,202103,3240.37,0.00,0.00,,200.00,200.00,1,二、工业
5,交流10kV,202104,20790.30,0.00,0.00,,200.00,200.00,2,二、工业
5,交流10kV,202105,18712.28,0.00,0.00,,200.00,200.00,1,二、工业
5,交流10kV,202106,14746.39,0.00,0.00,,200.00,200.00,2,二、工业
5,交流10kV,202107,15804.08,0.00,0.00,,200.00,200.00,1,二、工业
5,交流10kV,202108,0.00,0.00,0.00,,200.00,200.00,2,二、工业
5,交流10kV,202109,15099.74,0.00,0.00,,200.00,200.00,1,二、工业
5,交流10kV,202110,0.00,0.00,0.00,,200.00,200.00,1,二、工业
5,交流10kV,202111,0.00,0.00,0.00,,200.00,200.00,2,二、工业
594,交流10kV,202112,9.40,0.00,9.40,17.60,80.00,80.00,1,一、农、林、牧、渔业
6,交流10kV,202001,0.00,0.00,0.00,,144.00,144.00,,一、农、林、牧、渔业
6,交流10kV,202002,0.00,0.00,0.00,,144.00,144.00,,一、农、林、牧、渔业
6,交流10kV,202003,0.00,0.00,0.00,,144.00,144.00,,一、农、林、牧、渔业
6,交流10kV,202004,2576.27,0.00,0.00,,144.00,144.00,4,一、农、林、牧、渔业
6,交流10kV,202005,1081.90,0.00,0.00,,144.00,144.00,2,一、农、林、牧、渔业
6,交流10kV,202006,771.06,0.00,0.00,,144.00,144.00,1,一、农、林、牧、渔业
6,交流10kV,202007,3110.40,0.00,0.00,,144.00,144.00,1,一、农、林、牧、渔业
6,交流10kV,202008,10555.81,0.00,0.00,,144.00,144.00,1,一、农、林、牧、渔业
6,交流10kV,202009,1076.69,0.00,0.00,,144.00,144.00,1,一、农、林、牧、渔业
6,交流10kV,202010,2240.58,0.00,0.00,,144.00,144.00,1,一、农、林、牧、渔业
6,交流10kV,202011,2168.38,0.00,0.00,,144.00,144.00,1,一、农、林、牧、渔业
6,交流10kV,202012,1267.54,2.54,1270.07,,144.00,144.00,1,一、农、林、牧、渔业
6,交流10kV,202101,1270.62,0.00,0.00,,144.00,144.00,1,一、农、林、牧、渔业
6,交流10kV,202102,771.06,0.00,0.00,,144.00,144.00,1,一、农、林、牧、渔业
6,交流10kV,202103,1281.87,0.00,0.00,,144.00,144.00,1,一、农、林、牧、渔业
6,交流10kV,202104,1624.22,0.00,0.00,,144.00,144.00,1,一、农、林、牧、渔业
6,交流10kV,202105,961.71,0.00,0.00,,144.00,144.00,1,一、农、林、牧、渔业
6,交流10kV,202106,1485.57,0.00,0.00,,144.00,144.00,1,一、农、林、牧、渔业
6,交流10kV,202107,2082.89,0.00,0.00,,144.00,144.00,1,一、农、林、牧、渔业
6,交流10kV,202108,3415.01,0.00,0.00,,144.00,144.00,1,一、农、林、牧、渔业
6,交流10kV,202109,3290.48,0.00,0.00,,144.00,144.00,1,一、农、林、牧、渔业
6,交流10kV,202110,771.06,0.00,0.00,,144.00,144.00,1,一、农、林、牧、渔业
6,交流10kV,202111,1360.25,0.00,0.00,,144.00,144.00,1,一、农、林、牧、渔业
596,交流10kV,202112,9.58,0.00,9.58,9.60,80.00,80.00,2,一、农、林、牧、渔业
7,交流10kV,202001,8786.06,0.00,0.00,,40.00,0.00,4,一、农、林、牧、渔业
7,交流10kV,202002,3458.96,0.00,0.00,,40.00,0.00,6,一、农、林、牧、渔业
7,交流10kV,202003,1001.56,0.00,0.00,,40.00,0.00,4,一、农、林、牧、渔业
7,交流10kV,202004,436.54,0.00,0.00,,40.00,0.00,4,一、农、林、牧、渔业
7,交流10kV,202005,297.66,0.00,0.00,,40.00,0.00,4,一、农、林、牧、渔业
7,交流10kV,202006,123.74,0.00,0.00,,40.00,0.00,2,一、农、林、牧、渔业
7,交流10kV,202007,122.01,0.00,0.00,,40.00,0.00,2,一、农、林、牧、渔业
7,交流10kV,202008,131.52,0.00,0.00,,40.00,0.00,2,一、农、林、牧、渔业
7,交流10kV,202009,306.74,3.00,309.74,,40.00,0.00,2,一、农、林、牧、渔业
7,交流10kV,202010,175.22,0.80,176.02,,40.00,0.00,2,一、农、林、牧、渔业
7,交流10kV,202011,82.63,0.98,83.62,,40.00,0.00,2,一、农、林、牧、渔业
7,交流10kV,202012,66.19,0.80,66.99,,40.00,0.00,1,一、农、林、牧、渔业
7,交流10kV,202101,0.00,0.00,0.00,,40.00,0.00,,一、农、林、牧、渔业
7,交流10kV,202102,0.00,0.00,0.00,,40.00,0.00,,一、农、林、牧、渔业
7,交流10kV,202103,0.00,0.00,0.00,,40.00,0.00,,一、农、林、牧、渔业
7,交流10kV,202104,0.00,0.00,0.00,,40.00,0.00,,一、农、林、牧、渔业
7,交流10kV,202105,0.00,0.00,0.00,,40.00,40.00,,一、农、林、牧、渔业
7,交流10kV,202106,16.01,0.80,16.81,,40.00,40.00,2,一、农、林、牧、渔业
7,交流10kV,202107,56.67,0.00,0.00,,40.00,40.00,2,一、农、林、牧、渔业
7,交流10kV,202108,62.74,0.80,63.54,,40.00,40.00,1,一、农、林、牧、渔业
7,交流10kV,202109,125.03,0.80,125.83,,40.00,40.00,1,一、农、林、牧、渔业
7,交流10kV,202110,178.25,0.00,0.00,,40.00,40.00,1,一、农、林、牧、渔业
7,交流10kV,202111,120.70,0.80,121.50,,40.00,40.00,1,一、农、林、牧、渔业
272,交流10kV,202112,10.42,0.00,10.42,20.00,4.00,4.00,1,一、农、林、牧、渔业
8,交流10kV,202001,0.00,0.00,0.00,,400.00,400.00,,一、农、林、牧、渔业
8,交流10kV,202002,0.00,0.00,0.00,,400.00,400.00,,一、农、林、牧、渔业
8,交流10kV,202003,0.00,0.00,0.00,,400.00,400.00,,一、农、林、牧、渔业
8,交流10kV,202004,0.00,0.00,0.00,,400.00,400.00,,一、农、林、牧、渔业
8,交流10kV,202005,0.00,0.00,0.00,,400.00,400.00,,一、农、林、牧、渔业
8,交流10kV,202006,0.00,0.00,0.00,,400.00,400.00,,一、农、林、牧、渔业
8,交流10kV,202007,5603.84,0.00,0.00,,400.00,400.00,2,一、农、林、牧、渔业
8,交流10kV,202008,21151.60,0.00,0.00,,400.00,400.00,1,一、农、林、牧、渔业
8,交流10kV,202009,1201.84,0.00,0.00,,400.00,400.00,2,一、农、林、牧、渔业
8,交流10kV,202010,3285.86,0.00,0.00,,400.00,400.00,2,一、农、林、牧、渔业
8,交流10kV,202011,3989.56,0.00,0.00,,400.00,400.00,2,一、农、林、牧、渔业
8,交流10kV,202012,1147.04,0.00,0.00,,400.00,400.00,2,一、农、林、牧、渔业
8,交流10kV,202101,652.33,0.00,0.00,,400.00,400.00,2,一、农、林、牧、渔业
8,交流10kV,202102,596.26,0.00,0.00,,400.00,400.00,2,一、农、林、牧、渔业
8,交流10kV,202103,528.94,0.00,0.00,,400.00,400.00,1,一、农、林、牧、渔业
8,交流10kV,202104,1086.26,2.13,1088.39,,400.00,400.00,2,一、农、林、牧、渔业
8,交流10kV,202105,2048.33,0.00,0.00,,400.00,400.00,2,一、农、林、牧、渔业
8,交流10kV,202106,749.40,0.00,0.00,,400.00,400.00,2,一、农、林、牧、渔业
8,交流10kV,202107,3022.46,0.00,0.00,,400.00,400.00,1,一、农、林、牧、渔业
8,交流10kV,202108,4793.78,0.00,0.00,,400.00,400.00,1,一、农、林、牧、渔业
8,交流10kV,202109,5055.79,0.00,0.00,,400.00,400.00,1,一、农、林、牧、渔业
8,交流10kV,202110,1648.45,0.00,0.00,,400.00,400.00,1,一、农、林、牧、渔业
8,交流10kV,202111,2562.46,0.00,0.00,,400.00,400.00,1,一、农、林、牧、渔业
591,交流10kV,202112,13.45,0.00,13.45,12.80,128.00,128.00,2,一、农、林、牧、渔业
9,交流10kV,202001,9009.66,0.00,0.00,,240.00,240.00,4,一、农、林、牧、渔业
9,交流10kV,202002,2147.62,0.00,0.00,,240.00,240.00,2,一、农、林、牧、渔业
9,交流10kV,202003,4554.18,0.00,0.00,,240.00,240.00,4,一、农、林、牧、渔业
9,交流10kV,202004,1922.07,0.00,0.00,,240.00,240.00,4,一、农、林、牧、渔业
9,交流10kV,202005,1291.08,0.00,0.00,,240.00,240.00,4,一、农、林、牧、渔业
9,交流10kV,202006,10600.36,0.00,0.00,,240.00,240.00,2,一、农、林、牧、渔业
9,交流10kV,202007,3557.81,0.00,0.00,,240.00,240.00,2,一、农、林、牧、渔业
9,交流10kV,202008,775.94,0.00,0.00,,240.00,240.00,1,一、农、林、牧、渔业
9,交流10kV,202009,1124.32,0.00,0.00,,240.00,240.00,1,一、农、林、牧、渔业
9,交流10kV,202010,16719.17,0.00,0.00,,240.00,240.00,1,一、农、林、牧、渔业
9,交流10kV,202011,40647.95,0.00,0.00,,240.00,240.00,1,一、农、林、牧、渔业
9,交流10kV,202012,18185.96,0.00,0.00,,240.00,240.00,1,一、农、林、牧、渔业
9,交流10kV,202101,1892.29,0.00,0.00,,240.00,240.00,1,一、农、林、牧、渔业
9,交流10kV,202102,686.43,0.00,0.00,,240.00,240.00,1,一、农、林、牧、渔业
9,交流10kV,202103,377.34,0.00,0.00,,240.00,240.00,1,一、农、林、牧、渔业
9,交流10kV,202104,596.54,1.19,597.73,,240.00,240.00,1,一、农、林、牧、渔业
9,交流10kV,202105,713.03,0.00,0.00,,240.00,240.00,1,一、农、林、牧、渔业
9,交流10kV,202106,25832.46,0.00,0.00,,240.00,240.00,1,一、农、林、牧、渔业
9,交流10kV,202107,2201.54,0.00,0.00,,240.00,240.00,1,一、农、林、牧、渔业
9,交流10kV,202108,3538.64,0.00,0.00,,240.00,240.00,1,一、农、林、牧、渔业
9,交流10kV,202109,6243.53,0.00,0.00,,240.00,240.00,1,一、农、林、牧、渔业
9,交流10kV,202110,10633.63,0.00,0.00,,240.00,240.00,,一、农、林、牧、渔业
9,交流10kV,202111,57485.68,0.00,0.00,,240.00,240.00,1,一、农、林、牧、渔业
511,交流10kV,202112,14.28,0.00,14.28,26.40,64.00,64.00,2,一、农、林、牧、渔业
10,交流10kV,202001,438.30,0.00,0.00,,128.00,128.00,2,一、农、林、牧、渔业
10,交流10kV,202002,195.74,0.00,0.00,,128.00,128.00,4,一、农、林、牧、渔业
10,交流10kV,202003,0.00,0.00,0.00,,128.00,128.00,,一、农、林、牧、渔业
10,交流10kV,202004,0.00,0.00,0.00,,128.00,128.00,,一、农、林、牧、渔业
10,交流10kV,202005,0.00,0.00,0.00,,128.00,128.00,,一、农、林、牧、渔业
10,交流10kV,202006,0.00,0.00,0.00,,128.00,128.00,,一、农、林、牧、渔业
10,交流10kV,202007,2605.31,0.00,0.00,,128.00,128.00,1,一、农、林、牧、渔业
10,交流10kV,202008,2794.42,0.00,0.00,,128.00,128.00,1,一、农、林、牧、渔业
10,交流10kV,202009,342.79,0.00,0.00,,128.00,128.00,1,一、农、林、牧、渔业
10,交流10kV,202010,624.48,1.25,625.73,,128.00,128.00,1,一、农、林、牧、渔业
10,交流10kV,202011,802.83,0.00,0.00,,128.00,128.00,1,一、农、林、牧、渔业
10,交流10kV,202012,394.81,0.00,0.00,,128.00,128.00,1,一、农、林、牧、渔业
10,交流10kV,202101,810.30,0.00,0.00,,128.00,128.00,3,一、农、林、牧、渔业
10,交流10kV,202102,196.19,0.00,0.00,,128.00,128.00,1,一、农、林、牧、渔业
10,交流10kV,202103,342.50,0.00,0.00,,128.00,128.00,2,一、农、林、牧、渔业
10,交流10kV,202104,264.63,0.00,0.00,,128.00,128.00,2,一、农、林、牧、渔业
10,交流10kV,202105,194.45,0.00,0.00,,128.00,128.00,1,一、农、林、牧、渔业
10,交流10kV,202106,193.58,0.00,0.00,,128.00,128.00,1,一、农、林、牧、渔业
10,交流10kV,202107,765.94,0.00,0.00,,128.00,128.00,1,一、农、林、牧、渔业
10,交流10kV,202108,579.25,0.00,0.00,,128.00,128.00,1,一、农、林、牧、渔业
10,交流10kV,202109,1003.59,0.00,0.00,,128.00,128.00,1,一、农、林、牧、渔业
10,交流10kV,202110,273.72,0.00,0.00,,128.00,128.00,1,一、农、林、牧、渔业
10,交流10kV,202111,343.00,0.00,0.00,,128.00,128.00,1,一、农、林、牧、渔业
595,交流10kV,202112,14.57,0.00,14.57,27.20,80.00,0.00,2,一、农、林、牧、渔业
11,交流10kV,202001,5787.96,0.00,0.00,,80.00,80.00,4,一、农、林、牧、渔业
11,交流10kV,202002,1928.66,0.00,0.00,,80.00,80.00,6,一、农、林、牧、渔业
11,交流10kV,202003,899.01,0.00,0.00,,80.00,80.00,4,一、农、林、牧、渔业
11,交流10kV,202004,674.48,0.00,0.00,,80.00,80.00,4,一、农、林、牧、渔业
11,交流10kV,202005,652.18,0.00,0.00,,80.00,80.00,4,一、农、林、牧、渔业
11,交流10kV,202006,1002.37,0.00,0.00,,80.00,80.00,1,一、农、林、牧、渔业
11,交流10kV,202007,1062.86,0.00,0.00,,80.00,80.00,2,一、农、林、牧、渔业
11,交流10kV,202008,1349.30,0.00,0.00,,80.00,80.00,2,一、农、林、牧、渔业
11,交流10kV,202009,2085.90,20.86,2106.75,,80.00,80.00,1,一、农、林、牧、渔业
11,交流10kV,202010,945.10,5.66,950.77,,80.00,80.00,2,一、农、林、牧、渔业
11,交流10kV,202011,531.28,3.18,534.46,,80.00,80.00,1,一、农、林、牧、渔业
11,交流10kV,202012,446.53,4.46,450.99,,80.00,80.00,1,一、农、林、牧、渔业
11,交流10kV,202101,1964.55,11.78,1976.34,,80.00,80.00,1,一、农、林、牧、渔业
11,交流10kV,202102,3067.95,6.12,3074.07,,80.00,80.00,2,一、农、林、牧、渔业
11,交流10kV,202103,1021.34,8.17,1029.50,,80.00,80.00,1,一、农、林、牧、渔业
11,交流10kV,202104,723.22,4.28,727.50,,80.00,80.00,2,一、农、林、牧、渔业
11,交流10kV,202105,422.84,0.00,0.00,,80.00,80.00,2,一、农、林、牧、渔业
11,交流10kV,202106,384.98,0.00,0.00,,80.00,80.00,1,一、农、林、牧、渔业
11,交流10kV,202107,1243.58,0.00,0.00,,80.00,80.00,2,一、农、林、牧、渔业
11,交流10kV,202108,1049.70,10.50,1060.20,,80.00,80.00,1,一、农、林、牧、渔业
11,交流10kV,202109,1270.06,15.24,1285.30,,80.00,80.00,1,一、农、林、牧、渔业
11,交流10kV,202110,1012.76,6.08,1018.84,,80.00,80.00,1,一、农、林、牧、渔业
11,交流10kV,202111,821.46,3.29,824.74,,80.00,80.00,1,一、农、林、牧、渔业
229,交流10kV,202112,15.42,0.00,15.42,29.60,40.00,40.00,1,一、农、林、牧、渔业
12,交流10kV,202001,3193.32,0.00,0.00,,80.00,80.00,4,二、工业
12,交流10kV,202002,218.68,0.00,0.00,,80.00,80.00,6,二、工业
12,交流10kV,202003,305.59,0.00,0.00,,80.00,80.00,4,二、工业
12,交流10kV,202004,207.74,0.00,0.00,,80.00,80.00,4,二、工业
12,交流10kV,202005,207.74,0.00,0.00,,80.00,80.00,4,二、工业
12,交流10kV,202006,297.50,0.00,0.00,,80.00,80.00,2,二、工业
12,交流10kV,202007,266.90,0.00,0.00,,80.00,80.00,2,二、工业
12,交流10kV,202008,259.61,0.00,0.00,,80.00,80.00,2,二、工业
12,交流10kV,202009,207.74,1.65,209.39,,80.00,80.00,2,二、工业
12,交流10kV,202010,1561.91,6.22,1568.13,,80.00,80.00,2,二、工业
12,交流10kV,202011,11882.23,0.00,0.00,,80.00,0.00,1,二、工业
12,交流10kV,202012,6119.67,12.16,6131.83,,80.00,0.00,2,二、工业
12,交流10kV,202101,273.14,0.00,0.00,,80.00,0.00,1,二、工业
12,交流10kV,202102,222.54,0.00,0.00,,80.00,0.00,2,二、工业
12,交流10kV,202103,222.54,0.00,0.00,,80.00,0.00,3,二、工业
12,交流10kV,202104,0.00,0.00,0.00,,80.00,0.00,,二、工业
12,交流10kV,202105,0.00,0.00,0.00,,80.00,0.00,,二、工业
12,交流10kV,202106,1606.22,0.00,0.00,,80.00,80.00,3,二、工业
12,交流10kV,202107,52.93,0.00,0.00,,80.00,80.00,2,二、工业
12,交流10kV,202108,193.39,0.00,0.00,,80.00,80.00,2,二、工业
12,交流10kV,202109,253.38,0.00,0.00,,80.00,80.00,2,二、工业
12,交流10kV,202110,272.56,0.00,0.00,,80.00,80.00,2,二、工业
12,交流10kV,202111,208.90,0.00,0.00,,80.00,80.00,2,二、工业
445,交流10kV,202112,20.00,0.00,20.00,38.40,64.00,64.00,2,一、农、林、牧、渔业
13,交流10kV,202001,15902.25,0.00,0.00,,200.00,200.00,4,一、农、林、牧、渔业
13,交流10kV,202002,20744.82,0.00,0.00,,200.00,200.00,6,一、农、林、牧、渔业
13,交流10kV,202003,18789.68,0.00,0.00,,200.00,200.00,4,一、农、林、牧、渔业
13,交流10kV,202004,23860.00,0.00,0.00,,200.00,200.00,4,一、农、林、牧、渔业
13,交流10kV,202005,21536.98,0.00,0.00,,200.00,200.00,4,一、农、林、牧、渔业
13,交流10kV,202006,25644.27,0.00,0.00,,200.00,200.00,1,一、农、林、牧、渔业
13,交流10kV,202007,23516.51,0.00,0.00,,200.00,200.00,1,一、农、林、牧、渔业
13,交流10kV,202008,24380.83,0.00,0.00,,200.00,200.00,2,一、农、林、牧、渔业
13,交流10kV,202009,30013.98,300.14,30314.12,,200.00,200.00,2,一、农、林、牧、渔业
13,交流10kV,202010,13256.22,79.50,13335.72,,200.00,200.00,2,一、农、林、牧、渔业
13,交流10kV,202011,10216.68,61.30,10277.98,,200.00,200.00,1,一、农、林、牧、渔业
13,交流10kV,202012,5373.24,53.74,5426.98,,200.00,200.00,1,一、农、林、牧、渔业
13,交流10kV,202101,7076.74,42.46,7119.20,,200.00,200.00,1,一、农、林、牧、渔业
13,交流10kV,202102,12811.61,25.62,12837.23,,200.00,200.00,2,一、农、林、牧、渔业
13,交流10kV,202103,15745.90,125.97,15871.86,,200.00,200.00,1,一、农、林、牧、渔业
13,交流10kV,202104,16583.99,99.46,16683.45,,200.00,200.00,2,一、农、林、牧、渔业
13,交流10kV,202105,12919.78,0.00,0.00,,200.00,200.00,2,一、农、林、牧、渔业
13,交流10kV,202106,12832.29,0.00,0.00,,200.00,200.00,1,一、农、林、牧、渔业
